,기업명,공모가(원),기관청약경쟁률,일반청약경쟁률,상장주식수,매출액(백만원),순이익(백만원),자본금(백만원),의무보유확약비율,구주매출비율,최대주주지분율,유통가능물량(비율),공모금액(백만원),첫날손익률,최대희망공모가액차(%),주간사규모,유가증권여부,상장분기,종가
0,아셈스,8000,1618.26,2435.07,2000000,34049,1052,4479,7.71,0,46.55,39.75,16000,68.75,0,1,0,1,"13,500"
1,레인보우로보틱스,10000,1489.9,1201.26,2650000,1694,-5497,7922,19.9,0,26,37.06,26500,160,11.11,1,0,1,"26,000"
2,마크로밀엠브레인,6800,1056.8,888.01,1400000,39075,1952,4484,19.39,0,42.22,29.88,9520,136.03,6.25,1,0,3,"16,050"
3,메탈라이프,13000,1288.21,1397.97,700000,19270,3742,1732,22.46,0,56.06,20.79,9100,160,0,1,0,4,"33,800"
4,연우,25200,317,680,2405680,168759,8670,6199,51,0,65.84,31.04,60623,45.04,0,1,0,4,"36,550"
5,솔루엠(유가),17000,1167.55,1147.76,6400000,913607,38483,23166,20.79,0,22.44,53.5,108800,71.47,9.68,1,1,1,"29,150"
6,한국파마,9000,1296.86,2036,3243000,66136,5528,5453,0,48.1,62.71,31.5,29187,87.22,5.88,1,0,3,"16,850"
7,씨유테크,6000,1565.03,1408.69,5250000,221698,10598,8828,22.76,33.33,69.37,29.73,31500,40,7.14,0,0,4,"8,400"
8,모비릭스,14000,1407.53,1485.51,1800000,40340,6189,927,5.73,0,60,32.49,25200,160,0,1,0,1,"36,400"
9,엔시스,19000,1467.73,2573.6,2300000,31884,1912,1040,21.73,29.13,54.79,29.21,43700,65.26,15.15,1,0,2,"31,400"
10,이루다,9000,1316.5,3039.55,1500000,17779,2031,3532,7.8,20,43.95,50.6,13500,96.11,0,1,0,3,"17,650"
11,창해에탄올,8300,578.2,675.79,1900871,69032,14887,3087,59.5,0,29.2,52.5,15777,75.9,20.29,1,0,3,"14,600"
12,이지케어텍,12300,1108.03,1272.11,1300000,55374,3606,3193,40.25,0,44,56.66,15990,159.76,0,1,0,1,"31,950"
13,에이디엠코리아,3800,1515.98,2345.4,4500000,10206,653,2183,12.35,0,64.77,14.03,17100,160,15.15,1,0,2,"9,880"
14,디에스씨인베스트먼트,1700,11.2,10.77,4368932,4440,1299,8750,0,0,34.5,31.8,7427,109.41,-39.29,1,0,4,"3,560"
