기업명,신용평점,신용등급(종속변수),유동비율,당좌비율,부채비율,영업이익이자보상비율,차입금/자기자본,차입금/매출액,총자산증가율,매출액증가율,순이익증가율,재고자산회전율,매출채권회전율,총자본회전율,총자본순이익율,매출액순이익율,자기자본순이익율
성지건설(주),7.0,1,115.7,104.9,120.1,-118.7,18.7,7.1,-4.4,-20.2,-20.7,9.0,1.2,1.1,-12.1,-10.6,-24.0
(주)피에스엠씨,7.0,1,199.3,153.2,45.8,-77.9,9.1,16.7,-19.8,-40.5,-26.7,5.0,6.1,.5,-8.5,-17.2,-13.2
(주)체시스,7.0,1,76.7,67.1,143.7,1.3,100.8,79.8,.5,-11.9,73.2,12.8,4.5,.6,.5,.9,1.4
(주)스틸플라워,9.0,1,47.4,35.5,198.0,-2.9,166.6,214.8,-17.9,-43.6,6.7,3.4,1.7,.3,-25.9,-98.7,-72.9
(주)형지아이앤씨,7.0,1,152.2,37.9,101.2,.2,47.0,23.2,-2.4,9.1,29.7,2.5,8.9,1.2,-4.0,-3.5,-8.5
(주)한섬,3.0,0,345.7,160.6,18.0,108.0,4.4,3.5,8.5,15.4,-27.1,2.6,13.0,.7,5.7,8.0,6.7
(주)화이브라더스코리아,5.0,0,1137.3,1088.2,29.5,-.9,20.7,18.9,133.7,32.0,-1.0,14.9,15.2,.7,-1.3,-1.9,-1.7
아이원스(주),6.0,1,52.7,31.6,140.5,1.7,107.6,95.6,27.0,22.5,-77.2,6.1,4.6,.4,1.5,3.5,3.4
진원생명과학(주),8.0,1,156.3,147.8,81.4,-14.1,55.8,40.1,30.5,6.6,-3.8,10.0,3.3,.4,-28.9,-66.5,-43.1
SK가스(주),5.0,0,95.6,81.6,101.3,4.5,77.1,26.4,7.3,19.1,46.6,21.1,8.6,1.4,3.7,2.6,7.4
(주)파크시스템스,3.0,0,656.6,523.6,15.3,7758.7,.4,.3,19.1,21.6,3.5,3.8,2.2,.7,12.4,17.1,14.1
(주)엔에스엔,7.0,1,54.9,35.0,48.9,-9.2,41.5,122.8,8.6,-51.9,14.8,2.4,1.8,.2,-29.2,-124.2,-44.3
(주)엘엠에스,6.0,1,199.9,182.0,73.4,2.8,61.5,83.3,-10.0,-4.9,-36.4,8.3,1.2,.4,-7.3,-17.3,-12.5
보해양조(주),7.0,1,82.6,24.8,120.6,-3.5,66.7,47.6,-.4,-6.4,-48.1,2.1,6.4,.5,-2.9,-5.5,-6.2
인베니아(주),6.0,1,124.4,121.1,167.7,6.1,59.8,18.1,29.6,80.8,345.7,80.7,2.4,1.5,8.2,5.5,21.5
(주)원익아이피에스,4.0,0,298.4,146.6,28.2,334.1,5.5,4.9,9.3,14.3,918.6,3.0,8.8,.9,8.0,9.3,10.3
(주)원풍,2.0,0,522.2,429.7,12.2,458.6,.3,.8,3.8,-9.2,8.7,12.4,5.5,.9,6.8,7.7,7.7
(주)이젠텍,9.0,1,27.6,21.4,159.2,-5.9,124.3,67.3,-9.4,-19.7,-3.5,17.8,9.2,.7,-21.1,-31.4,-51.3
(주)옴니텔,8.0,1,140.6,140.6,196.5,-10.4,120.2,31.8,-9.0,-19.6,31.2,6.5,3.9,1.2,-45.0,-36.4,-115.3
(주)한국가구,3.0,0,199.8,81.6,14.8,-11.3,4.9,29.5,.4,-.7,-55.6,1.7,9.6,.2,1.7,11.8,2.0
네이버(주),3.0,0,240.8,240.7,42.3,175.6,5.5,8.0,14.0,16.6,1.4,2557.4,11.5,.7,18.0,26.1,25.6
효성아이티엑스(주),3.0,0,82.3,74.9,138.0,10.8,41.7,6.1,.9,7.7,5.8,77.5,9.4,2.9,5.5,1.9,13.2
에스디엔(주),6.0,1,49.6,28.6,91.6,.3,77.5,110.6,-4.5,-27.3,-30.3,4.2,3.4,.4,-1.7,-4.6,-3.4
(주)에프알텍,5.0,0,138.8,118.2,39.2,-62.0,18.3,28.3,-12.9,-48.8,33.6,14.4,1.9,.4,-5.0,-13.4,-7.1
(주)코아스,7.0,1,86.5,49.6,212.2,-2.3,79.1,21.6,-13.0,.2,-29.0,5.5,3.9,1.2,-9.2,-8.0,-27.4
(주)에임하이글로벌,7.0,1,161.6,157.6,37.3,-13.3,16.4,62.7,64.0,-68.5,-67.8,4.3,2.5,.1,-43.9,-323.6,-54.5
동부제철(주),8.0,1,82.9,58.3,1660.2,.6,1228.0,115.2,-2.6,-3.8,-23.3,10.0,5.1,.6,-3.6,-5.8,-108.0
(주)에이치비테크놀러지,3.0,0,172.5,157.7,65.2,112.0,9.7,5.1,77.3,85.7,329.6,30.3,5.9,1.7,18.7,10.9,28.3
(주)세화피앤씨,5.0,0,106.6,68.8,81.2,13.1,53.2,26.0,.9,2.8,2.4,7.0,5.4,1.1,6.6,5.8,11.9
(주)포스링크,8.0,1,57.1,57.1,169.9,-3.1,129.5,222.3,9.5,-55.7,6.7,4.2,1.9,.2,-20.3,-96.4,-48.6
(주)정다운,7.0,1,138.4,111.5,100.7,2.9,82.2,43.4,10.9,-1.3,-27.1,13.0,9.4,1.0,-1.9,-1.9,-4.2
(주)원익,6.0,1,64.6,44.8,29.5,.5,22.9,92.5,164.2,4.3,102.8,4.5,4.4,.3,100.1,297.5,161.2
CJ(주),2.0,0,151.3,151.3,5.0,6.6,3.7,140.5,-4.2,20.1,29.1,459.5,7.6,.0,2.0,45.8,2.1
