id,hour,기온,강수확률,풍속,습도,가시성,오존,pm10,pm2.5,count,busy_hour
45,0,11.7,0.0,3.5,80.0,895,0.044,58,31,34.0,0
126,0,15.5,0.0,0.9,30.0,2000,0.004,51,32,76.0,0
183,0,18.5,0.0,0.9,46.0,1848,0.008,69,44,69.0,0
223,0,18.6,0.0,0.3,58.0,554,0.053,110,63,104.0,0
230,0,11.4,1.0,2.8,84.0,350,0.012,69,59,17.0,0
249,0,16.6,0.0,2.3,47.0,1048,0.074,76,41,89.0,0
403,0,19.5,0.0,2.4,55.0,2000,0.003,34,22,98.0,0
433,0,14.5,0.0,2.2,67.0,1661,0.033,47,18,62.0,0
446,0,17.7,0.0,1.1,36.0,1111,0.027,155,35,78.0,0
501,0,10.0,0.0,0.5,50.0,830,0.026,82,70,46.0,0
506,0,15.3,0.0,1.2,87.0,391,0.015,75,35,91.0,0
539,0,17.2,0.0,1.8,35.0,2000,0.043,24,19,137.0,0
559,0,15.4,0.0,2.4,41.0,2000,0.035,26,11,80.0,0
570,0,14.3,0.0,2.0,49.0,2000,0.044,37,20,58.0,0
691,0,17.9,0.0,0.7,87.0,582,0.004,32,25,30.0,0
729,0,13.8,0.0,3.2,69.0,518,0.042,79,46,46.0,0
748,0,14.8,0.0,1.2,64.0,2000,0.042,28,16,78.0,0
790,0,11.7,0.0,1.3,76.0,733,0.031,68,29,79.0,0
837,0,12.4,0.0,2.6,55.0,965,0.059,81,54,51.0,0
877,0,11.1,0.0,2.3,72.0,1290,0.04,48,25,66.0,0
936,0,11.5,0.0,1.0,74.0,2000,0.026,26,22,40.0,0
938,0,12.8,0.0,1.8,79.0,733,0.008,46,38,75.0,0
984,0,14.9,0.0,2.4,35.0,2000,0.034,55,20,68.0,0
994,0,17.6,0.0,1.2,73.0,665,0.038,57,36,80.0,0
1039,0,14.4,0.0,3.0,75.0,1629,0.022,32,20,67.0,0
1054,0,12.8,0.0,1.3,85.0,830,0.035,41,21,87.0,0
1157,0,9.0,0.0,2.6,52.0,2000,0.034,57,21,44.0,0
1193,0,20.3,0.0,2.3,55.0,1731,0.017,58,31,94.0,0
1220,0,7.5,0.0,1.2,56.0,962,0.031,75,64,36.0,0
1244,0,12.2,0.0,2.5,23.0,2000,0.036,66,19,46.0,0
1246,0,18.5,0.0,0.6,45.0,1345,0.055,62,36,121.0,0
1252,0,11.0,0.0,0.9,72.0,920,0.015,83,38,64.0,0
1260,0,15.6,0.0,2.3,62.0,1433,0.023,56,36,93.0,0
1307,0,19.1,0.0,1.4,61.0,2000,0.016,28,17,94.0,0
1386,0,16.1,0.0,1.8,45.0,2000,0.016,33,22,95.0,0
1391,0,13.5,0.0,3.8,46.0,2000,0.042,26,20,48.0,0
1414,0,18.4,0.0,2.3,44.0,2000,0.037,26,21,128.0,0
1470,0,12.9,0.0,1.3,43.0,1844,0.037,85,19,72.0,0
1477,0,5.9,0.0,2.0,74.0,2000,0.042,25,25,40.0,0
1522,0,9.6,0.0,3.2,66.0,1957,0.034,51,14,50.0,0
1551,0,19.7,0.0,3.4,76.0,749,0.065,48,31,100.0,0
1578,0,18.3,0.0,2.6,47.0,2000,0.033,49,32,107.0,0
1624,0,12.2,0.0,1.2,50.0,1707,0.033,58,29,62.0,0
1698,0,13.6,0.0,1.5,29.0,1154,0.055,76,66,47.0,0
1725,0,16.3,0.0,4.5,78.0,499,0.044,84,30,71.0,0
1847,0,16.8,0.0,0.6,62.0,2000,0.029,35,19,94.0,0
1894,0,12.5,0.0,1.4,32.0,2000,0.038,27,19,63.0,0
1895,0,20.7,0.0,1.4,61.0,2000,0.018,28,23,86.0,0
